id,opened,opened_ms,kind,coin,round,side,price,qty,stake,fee,fair,t_left,settled,settled_ms,winner,payout,pnl,pnl_pct,result,resolved_by
120,2026-09-23 20:33:28,1790188408951,fair,btc,1790188200,Up,0.46,8.5092,4.0622,0.148,0.5188,692,2026-09-23 20:47:59,1790189279356,Up,8.5092,4.447,109.47,won,polymarket
121,2026-09-23 20:43:44,1790189024014,diparb_leg1,btc,1790188200,Down,0.27,20.0,5.675940000000001,0.27594,,77,2026-09-23 20:47:59,1790189279357,Up,0.0,-5.6759,-100.0,lost,polymarket
119,2026-09-23 20:32:53,1790188373985,fair,eth,1790188200,Up,0.52,7.5703,4.0688,0.1323,0.5898,727,2026-09-23 20:47:59,1790189279556,Up,7.5703,3.5015,86.06,won,polymarket
122,2026-09-23 20:43:49,1790189029016,diparb_leg1,eth,1790188200,Down,0.41,20.0,8.538660000000002,0.33866,,72,2026-09-23 20:47:59,1790189279557,Up,0.0,-8.5387,-100.0,lost,polymarket
124,2026-09-23 20:48:34,1790189314095,fair,btc,1790189100,Down,0.44,8.807,4.027,0.1519,0.5567,687,2026-09-23 21:02:59,1790190179348,Up,0.0,-4.027,-100.0,lost,polymarket
123,2026-09-23 20:46:04,1790189164038,fair,eth,1790189100,Down,0.43,5.0,2.2358,0.0858,0.489,837,2026-09-23 21:06:59,1790190419657,Up,0.0,-2.2358,-100.0,lost,polymarket
126,2026-09-23 21:01:49,1790190109117,fair,eth,1790190000,Up,0.5,7.7558,4.0136,0.1357,0.5781,792,2026-09-23 21:17:59,1790191079697,Down,0.0,-4.0136,-100.0,lost,polymarket
127,2026-09-23 21:14:04,1790190844200,diparb_leg1,eth,1790190000,Up,0.18,20.0,3.8066400000000007,0.20664,,57,2026-09-23 21:17:59,1790191079697,Down,0.0,-3.8066,-100.0,lost,polymarket
125,2026-09-23 21:01:39,1790190099112,fair,btc,1790190000,Up,0.58,6.732,4.0194,0.1148,0.6502,802,2026-09-23 21:21:59,1790191319437,Up,6.732,2.7126,67.49,won,polymarket
129,2026-09-23 21:39:44,1790192384314,fair,btc,1790191800,Down,0.26,13.3314,3.6457,0.1795,0.3172,317,2026-09-23 21:48:59,1790192939631,Up,0.0,-3.6457,-100.0,lost,polymarket
130,2026-09-23 21:43:34,1790192614385,diparb_leg1,btc,1790191800,Down,0.12,20.0,2.54784,0.14784,,87,2026-09-23 21:48:59,1790192939632,Up,0.0,-2.5478,-100.0,lost,polymarket
128,2026-09-23 21:33:59,1790192039321,fair,eth,1790191800,Down,0.4,8.7646,3.6531,0.1472,0.4598,662,2026-09-23 21:48:59,1790192939857,Up,0.0,-3.6531,-100.0,lost,polymarket
131,2026-09-23 21:43:39,1790192619324,diparb_leg1,eth,1790191800,Down,0.39,20.0,8.13306,0.33306,,82,2026-09-23 21:48:59,1790192939857,Up,0.0,-8.1331,-100.0,lost,polymarket
133,2026-09-23 21:47:24,1790192844395,fair,btc,1790192700,Up,0.63,5.6201,3.6324,0.0917,0.6986,757,2026-09-23 22:02:59,1790193779650,Up,5.6201,1.9877,54.72,won,polymarket
134,2026-09-23 21:59:19,1790193559377,diparb_leg1,btc,1790192700,Up,0.75,20.0,15.2625,0.2625,,42,2026-09-23 22:02:59,1790193779651,Up,20.0,4.7375,31.04,won,polymarket
