time,ms,equity,cash,open
2026-09-24 12:15:38,1790244938937,105.9055,41.2875,12
2026-09-24 12:25:38,1790245538811,105.9055,41.2875,12
2026-09-24 12:35:38,1790246138673,105.9055,41.2875,12
2026-09-24 12:45:38,1790246738662,105.9055,41.2875,12
2026-09-24 12:55:40,1790247340084,105.9055,41.2875,12
2026-09-24 13:05:38,1790247938722,105.9055,41.2875,12
2026-09-24 13:15:39,1790248539119,105.9055,41.2875,12
2026-09-24 13:25:39,1790249139673,105.9055,41.2875,12
2026-09-24 13:35:39,1790249739060,105.9055,41.2875,12
2026-09-24 13:45:38,1790250338918,105.9055,41.2875,12
2026-09-24 13:55:39,1790250939729,105.9055,41.2875,12
2026-09-24 14:05:38,1790251538834,105.9055,41.2875,12
2026-09-24 14:15:39,1790252139115,105.9055,41.2875,12
2026-09-24 14:25:38,1790252738890,105.9055,41.2875,12
2026-09-24 14:35:39,1790253339027,105.9055,41.2875,12
2026-09-24 14:45:39,1790253939154,105.9055,41.2875,12
2026-09-24 14:55:39,1790254539149,105.9055,41.2875,12
2026-09-24 15:05:38,1790255138813,105.9055,41.2875,12
2026-09-24 15:15:38,1790255738789,105.9055,41.2875,12
2026-09-24 15:25:38,1790256338700,105.9055,41.2875,12
2026-09-24 15:35:38,1790256938925,105.9055,41.2875,12
2026-09-24 15:45:39,1790257539165,105.9055,41.2875,12
2026-09-24 15:55:38,1790258138964,105.9055,41.2875,12
2026-09-24 16:05:38,1790258738745,105.9055,41.2875,12
2026-09-24 16:15:39,1790259339162,105.9055,41.2875,12
2026-09-24 16:25:38,1790259938881,105.9055,41.2875,12
2026-09-24 16:35:39,1790260539139,105.9055,41.2875,12
2026-09-25 03:47:27,1790300847219,106.2029,41.2875,12
2026-09-25 16:43:54,1790347434596,106.2029,41.2875,12
2026-09-25 16:53:53,1790348033394,106.2029,41.2875,12
2026-09-25 17:03:52,1790348632854,106.2029,41.2875,12
2026-09-25 17:13:52,1790349232753,106.2029,41.2875,12
2026-09-25 17:23:53,1790349833163,106.2029,41.2875,12
2026-09-25 17:33:53,1790350433014,106.2029,41.2875,12
2026-09-25 17:43:53,1790351033009,106.2029,41.2875,12
2026-09-25 17:53:52,1790351632833,106.2029,41.2875,12
2026-09-25 18:03:53,1790352233109,106.2029,41.2875,12
2026-09-25 18:13:52,1790352832724,106.2029,41.2875,12
2026-09-25 18:23:52,1790353432838,106.2029,41.2875,12
2026-09-25 18:33:53,1790354033012,106.2029,41.2875,12
2026-09-25 18:43:52,1790354632856,106.2029,41.2875,12
2026-09-25 18:53:52,1790355232999,106.2029,41.2875,12
2026-09-25 19:03:52,1790355832840,106.2029,41.2875,12
2026-09-25 19:13:52,1790356432975,106.2029,41.2875,12
2026-09-25 19:23:52,1790357032982,106.2029,41.2875,12
2026-09-25 19:33:52,1790357632899,106.2029,41.2875,12
2026-09-25 19:43:52,1790358232952,106.2029,41.2875,12
2026-09-25 19:53:52,1790358832955,106.2029,41.2875,12
2026-09-25 20:03:52,1790359432977,106.2029,41.2875,12
2026-09-25 20:13:52,1790360032994,106.2029,41.2875,12
2026-09-25 20:23:53,1790360633029,106.2992,41.2875,12
2026-09-25 20:33:52,1790361232982,106.2992,41.2875,12
2026-09-25 20:43:53,1790361833073,106.2182,41.2875,12
2026-09-25 20:53:52,1790362432980,106.3145,41.2875,12
2026-09-25 21:03:52,1790363032974,106.3145,41.2875,12
2026-09-25 21:13:52,1790363632756,106.3145,41.2875,12
2026-09-25 21:23:52,1790364232911,106.3145,41.2875,12
2026-09-25 21:33:52,1790364832976,106.3145,41.2875,12
2026-09-25 21:43:52,1790365432805,106.3145,41.2875,12
2026-09-25 21:54:48,1790366088609,106.2182,41.2875,12
2026-09-25 22:04:47,1790366687090,106.2182,41.2875,12
2026-09-25 22:14:47,1790367287119,106.2182,41.2875,12
2026-09-25 22:24:48,1790367888074,106.2182,41.2875,12
2026-09-25 22:34:47,1790368487145,106.2992,41.2875,12
2026-09-25 22:44:47,1790369087061,106.2992,41.2875,12
2026-09-25 22:54:46,1790369686997,106.2992,41.2875,12
2026-09-25 23:04:47,1790370287192,106.2992,41.2875,12
2026-09-25 23:14:47,1790370887287,106.2992,41.2875,12
2026-09-25 23:24:47,1790371487093,106.2992,41.2875,12
2026-09-25 23:34:47,1790372087713,106.2992,41.2875,12
2026-09-25 23:44:47,1790372687149,106.2992,41.2875,12
