time,ms,equity,cash,dip_equity,dip_cash
2026-09-23 18:05:51,1790179551906,82.5684,79.0044,-546.6496,-546.6496
2026-09-23 18:10:51,1790179851922,79.2771,79.0044,-549.2452,-549.2452
2026-09-23 18:15:51,1790180151941,87.6116,79.0044,-549.0591,-549.0591
2026-09-23 18:20:51,1790180451971,87.6116,79.0044,-556.0651,-556.0651
2026-09-23 18:25:51,1790180751986,79.0044,79.0044,-550.9044,-550.9044
2026-09-23 18:30:52,1790181052046,78.6037,71.1153,-569.7705,-573.5705
2026-09-23 18:35:57,1790181357534,81.6033,63.2644,-572.277,-573.277
2026-09-23 18:41:02,1790181662070,85.1668,63.2644,-584.9142,-584.9142
2026-09-23 18:46:02,1790181962110,70.7312,63.2644,-580.355,-584.955
2026-09-23 18:51:07,1790182267091,66.0963,56.1991,-587.0445,-591.6445
2026-09-23 18:56:07,1790182567117,70.8375,69.562,-594.9588,-594.9588
2026-09-23 19:01:07,1790182867142,76.2929,69.562,-605.9636,-605.9636
2026-09-23 19:06:07,1790183167427,82.0867,65.7473,-608.8558,-608.8558
2026-09-23 19:11:12,1790183472196,81.038,65.7473,-617.5077,-617.5077
2026-09-23 19:16:12,1790183772705,68.9515,62.2791,-628.2082,-628.2082
2026-09-23 19:21:17,1790184077262,76.2951,75.2609,-630.1815,-630.1815
2026-09-23 19:26:17,1790184377271,75.3158,75.2609,-629.6228,-629.6228
2026-09-23 19:31:17,1790184677485,81.8325,75.2609,-639.3716,-639.3716
2026-09-23 19:36:22,1790184982319,82.6234,67.4667,-637.1622,-637.1622
2026-09-23 19:41:22,1790185282369,80.6888,67.4667,-649.7223,-649.7223
2026-09-23 19:46:22,1790185582400,74.8755,67.4667,-658.9139,-658.9139
2026-09-23 19:51:22,1790185882401,94.0848,90.8966,-659.4588,-659.4588
2026-09-23 19:56:22,1790186182461,95.2348,90.8966,-660.9763,-660.9763
2026-09-23 20:01:27,1790186487425,96.6323,90.8966,-671.2395,-679.0395
2026-09-23 20:06:27,1790186787459,91.4901,86.2443,-676.8633,-676.8633
2026-09-23 20:11:27,1790187087494,88.3754,86.2443,-684.5052,-684.5052
2026-09-23 20:16:32,1790187392573,90.4159,81.7108,-684.5074,-686.3074
2026-09-23 20:21:37,1790187697543,78.5078,72.6768,-701.148,-701.148
2026-09-23 20:26:38,1790187998963,82.8537,72.6768,-691.7135,-691.7135
2026-09-23 20:31:43,1790188303974,81.376,72.6768,-690.2569,-692.0569
2026-09-23 20:36:43,1790188603976,71.8098,64.5459,-692.5383,-692.5383
2026-09-23 20:41:44,1790188904036,68.9149,64.5459,-691.5283,-691.5283
2026-09-23 20:46:44,1790189204040,72.9609,62.3101,-709.3776,-722.9776
2026-09-23 20:51:44,1790189504090,75.141,74.3626,-715.4873,-715.4873
2026-09-23 20:56:44,1790189804114,78.2427,74.3626,-717.1893,-717.1893
2026-09-23 21:01:49,1790190109119,79.2415,66.3296,-725.619,-725.619
2026-09-23 21:06:49,1790190409148,72.0913,66.3296,-723.8736,-723.8736
2026-09-23 21:11:49,1790190709482,75.795,66.3296,-728.4843,-728.4843
2026-09-23 21:16:54,1790191014213,74.112,66.3296,-731.6833,-735.2833
2026-09-23 21:21:54,1790191314225,70.2341,66.3296,-729.6136,-729.6136
2026-09-23 21:26:54,1790191614281,73.0616,73.0616,-745.7542,-745.7542
2026-09-23 21:31:54,1790191914392,73.0616,73.0616,-756.6741,-756.6741
2026-09-23 21:36:59,1790192219300,72.2132,69.4085,-748.075,-748.075
2026-09-23 21:41:59,1790192519317,67.7971,65.7628,-756.8895,-756.8895
2026-09-23 21:46:59,1790192819872,72.5386,62.126,-770.6851,-780.8851
2026-09-23 21:52:04,1790193124786,67.5257,58.4936,-771.5353,-771.5353
2026-09-23 21:57:04,1790193424978,67.8534,58.4936,-782.0234,-782.0234
2026-09-23 22:02:09,1790193729424,68.2935,53.0798,-788.7251,-806.3251
2026-09-23 22:07:09,1790194029473,75.8006,64.1611,-793.9721,-793.9721
2026-09-23 22:12:09,1790194329496,77.2646,64.1611,-789.9875,-789.9875
2026-09-23 22:17:09,1790194629577,67.3302,57.2313,-787.6596,-789.4596
2026-09-23 22:22:14,1790194934584,76.3379,70.7197,-785.1274,-785.1274
2026-09-23 22:27:19,1790195239506,70.8212,70.7197,-795.2173,-795.2173
2026-09-23 22:32:19,1790195539521,75.3742,62.9848,-802.0848,-802.0848
2026-09-23 22:37:24,1790195844581,74.1562,62.9848,-800.0507,-800.0507
2026-09-23 22:42:24,1790196144612,63.0307,62.9848,-810.9951,-810.9951
2026-09-23 22:47:29,1790196449634,70.7537,59.4683,-829.6589,-829.6589
2026-09-23 22:52:29,1790196749639,66.2627,55.9578,-824.1782,-824.1782
2026-09-23 22:57:34,1790197054625,67.9299,55.9578,-830.7565,-830.7565
2026-09-23 23:02:34,1790197354680,60.4606,49.6851,-842.9521,-842.9521
2026-09-23 23:07:34,1790197654684,65.7949,61.8305,-844.496,-844.496
2026-09-23 23:12:34,1790197954689,62.0196,61.8305,-834.8877,-834.8877
2026-09-23 23:17:34,1790198254689,67.8789,61.8305,-834.9415,-835.7415
2026-09-23 23:22:34,1790198554788,60.7438,58.739,-841.2384,-841.2384
2026-09-23 23:27:39,1790198859791,59.591,58.739,-854.73,-854.73
2026-09-23 23:32:44,1790199164778,61.6843,57.527,-856.2711,-862.2711
2026-09-23 23:37:44,1790199464783,58.7619,51.7771,-866.5676,-866.5676
2026-09-23 23:42:44,1790199764800,59.5159,51.7771,-868.0214,-868.0214
